straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails,html
Valkhof,in Amsterdam,12 m,Totale oppervlakte: 30 m 2,â‚¬ 850,p/m | incl. g/w/e,Gemeubileerd,31-01-2022,32 weken geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/valkhof/kamer-1899247,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' C ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}",
Rosendaalsestraat,in Arnhem,11 m,Totale oppervlakte: 110 m 2,â‚¬ 475,p/m | incl. g/w/e,Gemeubileerd,01-08-2022,34 weken geleden geplaatst,https://kamernet.nl/huren/kamer-arnhem/rosendaalsestraat/kamer-1893144,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' In overleg '}",
Badhuiskade,in Amsterdam,20 m,,â‚¬ 628,p/m | incl. g/w/e,Gemeubileerd,01-11-2021 tot 28-02-2022,32 weken geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/badhuiskade/kamer-1899434,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Nee '}",
Overschiestraat,in Amsterdam,77 m,Totaal 3 kamers (2 slaapkamers) ,â‚¬ 1610,p/m | excl. g/w/e,Gestoffeerd,01-09-2021,33 weken geleden geplaatst,https://kamernet.nl/huren/appartement-amsterdam/overschiestraat/appartement-1899057,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' A ', 'Huisdieren': ' In overleg '}",
Beerzestraat,in Utrecht,55 m,Totaal 3 kamers (2 slaapkamers) ,â‚¬ 1300,p/m | incl. g/w/e,Gestoffeerd,26-08-2021,1 week geleden geplaatst,https://kamernet.nl/huren/appartement-utrecht/beerzestraat/appartement-1983105,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}",
Oudraadtweg,in Delft,12 m,,â‚¬ 315,p/m | incl. g/w/e,Gemeubileerd,19-09-2021 tot 24-02-2022,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-delft/oudraadtweg/kamer-1984070,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Nee ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  8  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}",
Torenmolen,in Amsterdam,10 m,,â‚¬ 550,p/m | incl. g/w/e,Gestoffeerd,01-09-2021 tot 31-08-2022,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/torenmolen/kamer-1984079,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}",
Gulden Winckelstraat,in Amsterdam,14 m,,â‚¬ 750,p/m | excl. g/w/e,Gemeubileerd,01-09-2021 tot 01-02-2022,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/gulden-winckelstraat/kamer-1984088,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Nee '}",
Vrijheidslaan,in Leiden,15 m,,â‚¬ 350,p/m | incl. g/w/e,Kaal,27-09-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-leiden/vrijheidslaan/kamer-1984091,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}",
Hoofdstraat,in Velp,22 m,Totale oppervlakte: 15 m 2,â‚¬ 485,p/m | incl. g/w/e,Kaal,01-09-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-velp/hoofdstraat/kamer-1984039,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}",
