html,straat,plaats,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
studio-1974940.html,Jan de Oudeweg,in Delft,Totaal 1 kamer (1 slaapkamer) ,€ 632,p/m | excl. g/w/e,Gemeubileerd,01-09-2021 tot 01-03-2022,Gisteren geplaatst,https://kamernet.nl/huren/studio-delft/jan-de-oudeweg/studio-1974940,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' A ', 'Huisdieren': ' Nee '}"
kamer-1974376.html,Ruyschstraat,in Amsterdam,Totale oppervlakte: 60 m 2,€ 900,p/m | excl. g/w/e,Gemeubileerd,01-08-21,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/ruyschstraat/kamer-1974376,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' D ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
appartement-1973914.html,Van Ostadestraat,in Amsterdam,Totaal 3 kamers (2 slaapkamers) ,€ 1150,p/m | incl. g/w/e,Kaal,22-07-2021 tot 01-08-2022,5 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-amsterdam/van-ostadestraat/appartement-1973914,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' In overleg '}"
appartement-1970744.html,Burgemeester van Tuyllkade,in Utrecht,Totaal 1 kamer (1 slaapkamer) ,€ 999,p/m | excl. g/w/e,Gestoffeerd,01-09-21,2 weken geleden geplaatst,https://kamernet.nl/huren/appartement-utrecht/burgemeester-van-tuyllkade/appartement-1970744,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
appartement-1959151.html,Steenderenstraat,in Amsterdam,Totaal 4 kamers (3 slaapkamers) ,€ 1650,p/m | excl. g/w/e,Gestoffeerd,01-07-21,4 weken geleden geplaatst,https://kamernet.nl/huren/appartement-amsterdam/steenderenstraat/appartement-1959151,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' In overleg '}"
kamer-1974476.html,Verlengde Hoflaan,in Arnhem,Totale oppervlakte: 30 m 2,€ 450,p/m | incl. g/w/e,Gestoffeerd,01-08-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-arnhem/verlengde-hoflaan/kamer-1974476,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1974473.html,Maashaven N.z.,in Rotterdam,,€ 750,p/m | incl. g/w/e,Gemeubileerd,01-09-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-rotterdam/maashaven-n.z./kamer-1974473,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1974472.html,Maashaven N.z.,in Rotterdam,,€ 750,p/m | incl. g/w/e,Gemeubileerd,01-09-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-rotterdam/maashaven-n.z./kamer-1974472,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
studio-1974342.html,Johan van der Keukenstraat,in Amsterdam,Totaal 1 kamer (1 slaapkamer) ,€ 1000,p/m | excl. g/w/e,Gestoffeerd,01-09-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/studio-amsterdam/johan-van-der-keukenstraat/studio-1974342,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' A ', 'Huisdieren': ' In overleg '}"
kamer-1963099.html,Joris Ivenslaan,in Almere,Totale oppervlakte: 35 m 2,€ 625,p/m | incl. g/w/e,Gemeubileerd,03-08-21,3 weken geleden geplaatst,https://kamernet.nl/huren/kamer-almere/joris-ivenslaan/kamer-1963099,"{'Woonkamer': ' Geen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' A ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
appartement-1974455.html,Haparandaweg,in Amsterdam,Totaal 4 kamers (2 slaapkamers) ,€ 1800,p/m | excl. g/w/e,Gemeubileerd,01-10-2021 tot 30-09-2023,3 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-amsterdam/haparandaweg/appartement-1974455,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Nee ', 'Energielabel': ' A ', 'Huisdieren': ' Nee '}"
kamer-1974425.html,Sloot,in Venlo,,€ 295,p/m | incl. g/w/e,Gestoffeerd,01-08-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-venlo/sloot/kamer-1974425,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1974436.html,Ir. Lelyweg,in Haarlem,,€ 550,p/m | excl. g/w/e,Gemeubileerd,19-07-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-haarlem/ir.-lelyweg/kamer-1974436,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1974428.html,Petrarcalaan,in Utrecht,,€ 635,p/m | excl. g/w/e,Gemeubileerd,19-07-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-utrecht/petrarcalaan/kamer-1974428,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
appartement-1974447.html,Nijverheidstraat,in Enschede,Totaal 7 kamers (7 slaapkamers) ,€ 330,p/m | incl. g/w/e,Gestoffeerd,01-08-21,3 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-enschede/nijverheidstraat/appartement-1974447,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1953328.html,Paardestraat,in Sittard,,€ 295,p/m | incl. g/w/e,Gestoffeerd,01-08-21,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-sittard/paardestraat/kamer-1953328,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1974437.html,Ir. Lelyweg,in Haarlem,,€ 400,p/m | excl. g/w/e,Gemeubileerd,19-07-21,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-haarlem/ir.-lelyweg/kamer-1974437,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
